1,"[[212.0, 171.0], [425.0, 174.0], [424.0, 196.0], [212.0, 194.0]]"
1,"[[220.0, 295.0], [416.0, 298.0], [415.0, 321.0], [220.0, 318.0]]"
1,"[[64.0, 357.0], [573.0, 363.0], [573.0, 385.0], [64.0, 379.0]]"
1,"[[47.0, 385.0], [573.0, 390.0], [573.0, 411.0], [47.0, 406.0]]"
1,"[[47.0, 409.0], [572.0, 416.0], [572.0, 439.0], [47.0, 432.0]]"
1,"[[48.0, 436.0], [572.0, 441.0], [572.0, 460.0], [48.0, 456.0]]"
1,"[[49.0, 462.0], [572.0, 466.0], [572.0, 486.0], [49.0, 482.0]]"
1,"[[49.0, 488.0], [571.0, 491.0], [571.0, 511.0], [49.0, 508.0]]"
1,"[[49.0, 513.0], [571.0, 517.0], [571.0, 537.0], [49.0, 533.0]]"
1,"[[49.0, 538.0], [572.0, 541.0], [572.0, 562.0], [49.0, 559.0]]"
1,"[[50.0, 564.0], [572.0, 566.0], [572.0, 585.0], [50.0, 583.0]]"
1,"[[49.0, 586.0], [573.0, 591.0], [573.0, 611.0], [49.0, 606.0]]"
1,"[[49.0, 611.0], [574.0, 614.0], [574.0, 638.0], [49.0, 635.0]]"
1,"[[48.0, 634.0], [574.0, 640.0], [574.0, 663.0], [48.0, 657.0]]"
1,"[[47.0, 658.0], [574.0, 662.0], [574.0, 689.0], [47.0, 685.0]]"
1,"[[49.0, 682.0], [573.0, 687.0], [573.0, 711.0], [49.0, 705.0]]"
1,"[[49.0, 706.0], [573.0, 711.0], [573.0, 736.0], [49.0, 732.0]]"
1,"[[48.0, 732.0], [573.0, 736.0], [573.0, 759.0], [48.0, 755.0]]"
1,"[[48.0, 757.0], [572.0, 760.0], [572.0, 782.0], [48.0, 779.0]]"
1,"[[49.0, 780.0], [573.0, 784.0], [573.0, 808.0], [49.0, 804.0]]"
1,"[[49.0, 805.0], [575.0, 811.0], [575.0, 835.0], [49.0, 829.0]]"
1,"[[51.0, 833.0], [129.0, 833.0], [129.0, 850.0], [51.0, 850.0]]"
2,"[[57.0, 51.0], [572.0, 40.0], [573.0, 64.0], [58.0, 75.0]]"
2,"[[38.0, 77.0], [575.0, 67.0], [576.0, 90.0], [39.0, 100.0]]"
2,"[[40.0, 103.0], [574.0, 93.0], [575.0, 113.0], [41.0, 123.0]]"
2,"[[42.0, 128.0], [574.0, 117.0], [575.0, 138.0], [43.0, 149.0]]"
