page_001_01.jpg,PHẦN THỨ NHẤẦT
page_001_02.jpg,ĐỨA BÉ MẤT TÍCH
page_001_03.jpg,Năm ấy tôi mười hai tuôi. Tôi ở thi trấn Rêu với
page_001_04.jpg,"mẹ lôi. Thị trấn này gồm xvài ba dấy phố cũ, toàn"
page_001_05.jpg,"những ngôi nhà lợp ngói tao hiên rộng, cột gỗ đen bóng,"
page_001_06.jpg,"cảnh cửa chạm cầu kỳ, vườn bao quanh trông nhiềs"
page_001_07.jpg,thứ cây ăn qua và những bức tường phân cách thấp lễ
page_001_08.jpg,"tả, rêu loang từng đám. Bền kia, đường xe lữa, cóỏ"
page_001_09.jpg,"thêôm một dây phÕ mới, gÓm những ngôi nhà cất trên"
page_001_10.jpg,rẻo đất hoang và nên gạch vỡ tiêu thồ kháng chiến
page_001_11.jpg,"chống Pháp. Nhà ở đây thường hai tăng, lớn nhỏ l"
page_001_12.jpg,"nhô, bao lơn cỏ song sắt hoa đữ hi"
page_001_13.jpg,"phần lớn là thương phân, Cửa hàng của họ bản đủ thứ"
page_001_14.jpg,"vải sồi, mắm muối, gạao bột, tập hóa kháo,.. Sát đường"
page_001_15.jpg,"ray, ở giữa khu phố cũ và đãy phố mới, có một khoăng"
page_001_16.jpg,đất trống. Chợ họp ở đó. Trước cửa chợ trồng cây cột
page_001_17.jpg,"gỗ treo một dãi lạa hồng. Hàng năm, trước ngày Tết"
page_001_18.jpg,"ổng Tảo, người coi chợ gỡ mảnh lụa đã Đợt máu vì"
page_001_19.jpg,"muưa qua giỏ lại, thay vào đó một dải lụa mới tĩnh khôi"
page_001_20.jpg,màu hồng thắm. Dân cư trong thị trấn nhìn về phia
page_001_21.jpg,"chợ, lòng hoan hỉ vì thấy dấu hiệu phÖồn vxinh: của"
page_001_22.jpg,
page_002_01.jpg,"Ga xe lửa ở ngay gần chợ, Ngày ngày, những chu yến"
page_002_02.jpg,tàu xuôi ngược lướt qua đắm dân ồn ào mnua bán.
page_002_03.jpg,Người trên t'àu thò cỗ ra cửa nhìn xuống chợ. Và dân
page_002_04.jpg,trong chợ nghếch mắt nhìn con răắn kỷỳ dị bằng sắt
